partner_id,partner_typ,anrede,titel,vorname,nachname,firmenname,rechtsform,uid_hrb_nummer,geburtsdatum,geschlecht,nationalitaet,zivilstand,beruf_code,beruf_text,beruf_selbstaendig,sprache,land_wohnsitz,kundensegment,kunde_seit,status,todesdatum,datenschutz_werbung_ok,datenschutz_ki_ok,herkunft,quellsystem_primaer,haushalt_id,ist_persona,erstellt_am,geaendert_am
PTR-00000001,NATUERLICH,Frau,,Simone,Niederberger,,,,1984-03-14,W,CH,VERHEIRATET,B18,Physiotherapeutin,False,de,CH,PRIVAT,2016-03-01,AKTIV,,true,true,pfefferminz,HAPO,HH-000001,true,2016-03-01T09:00:00Z,2016-03-01T09:00:00Z
PTR-00000002,NATUERLICH,Frau,,Jana,Ortlepp,,,,1996-08-22,W,DE,LEDIG,B27,UX-Designerin,False,de,DE,PRIVAT,2021-03-15,AKTIV,,true,true,minzia,MINT,HH-000002,true,2021-03-15T09:00:00Z,2021-03-15T09:00:00Z
PTR-00000003,JURISTISCH,Firma,,,,Schreinerei Kaufmann + Söhne GmbH,GmbH,CHE-499.480.349,1987-04-01,UNBEKANNT,CH,UNBEKANNT,,,,de,CH,KMU,2016-01-01,AKTIV,,true,true,pfefferminz,HAPO,HH-000003,true,2016-01-01T09:00:00Z,2016-01-01T09:00:00Z
PTR-00000004,JURISTISCH,Firma,,,,Bergmann Gebäudetechnik GmbH & Co. KG,KG,HRB 35436,1992-05-12,UNBEKANNT,DE,UNBEKANNT,,,,de,DE,KMU,2014-01-01,AKTIV,,true,true,pfefferminz,HAPO,HH-000004,true,2014-01-01T09:00:00Z,2014-01-01T09:00:00Z
PTR-00000005,NATUERLICH,Frau,,Elisabeth,Vogt-Schnyder,,,,1954-06-09,W,CH,VERWITWET,B23,pensionierte Primarlehrerin,False,de,CH,PRIVAT,1995-07-01,AKTIV,,false,false,pfefferminz,VERA,HH-000005,true,1995-07-01T09:00:00Z,1995-07-01T09:00:00Z
PTR-00000006,NATUERLICH,Herr,Dr. med.,Farid,Nazari,,,,1973-11-30,M,DE,VERHEIRATET,B11,Facharzt Orthopädie (selbständig),True,de,DE,PREMIUM,2016-04-01,AKTIV,,true,false,pfefferminz,VERA,HH-000006,true,2016-04-01T09:00:00Z,2016-04-01T09:00:00Z
PTR-00000007,NATUERLICH,Herr,,Leon,Waibel,,,,2001-04-17,M,CH,LEDIG,B22,Student Wirtschaftsinformatik,False,de,CH,PRIVAT,2024-09-01,AKTIV,,true,true,minzia,MINT,HH-000007,true,2024-09-01T09:00:00Z,2024-09-01T09:00:00Z
PTR-00000008,NATUERLICH,Herr,,Hans-Georg,Pieper,,,,1962-09-02,M,DE,GESCHIEDEN,B23,Frühpensionär (ehem. Betriebsschlosser),False,de,DE,PRIVAT,2013-01-01,AKTIV,,false,false,pfefferminz,HAPO,HH-000008,true,2013-01-01T09:00:00Z,2013-01-01T09:00:00Z
PTR-00000009,JURISTISCH,Firma,,,,Transportlogistik Grimm e.K.,e.K.,HRB 41497,2022-01-03,UNBEKANNT,DE,UNBEKANNT,,,,de,DE,KMU,2022-02-01,INAKTIV,,true,false,minzia,MINT,HH-000009,true,2022-02-01T09:00:00Z,2022-02-01T09:00:00Z
PTR-00000010,NATUERLICH,Frau,,Nadia,Ferreira-Bucher,,,,1979-01-25,W,PT,VERHEIRATET,B21,Beraterin Pharma-Zulassungen (selbständig),True,de,CH,PREMIUM,2025-07-01,AKTIV,,true,false,minzia,MINT,HH-000010,true,2025-07-01T09:00:00Z,2025-07-01T09:00:00Z
PTR-00000011,NATUERLICH,Herr,,Reto,Niederberger,,,,1982-07-21,M,CH,VERHEIRATET,B01,Kaufmännische Angestellte / Kaufmännischer Angestellter,False,de,CH,PRIVAT,2019-05-01,AKTIV,,false,false,pfefferminz,VERA,HH-000001,true,2019-05-01T09:00:00Z,2019-05-01T09:00:00Z
PTR-00000012,NATUERLICH,Herr,,Bruno,Kaufmann,,,,1968-10-05,M,CH,LEDIG,B01,Kaufmännische Angestellte / Kaufmännischer Angestellter,True,de,CH,PRIVAT,,AKTIV,,false,false,pfefferminz,HAPO,HH-000003,true,2025-12-31T09:00:00Z,2025-12-31T09:00:00Z
PTR-00000013,NATUERLICH,Herr,,Marc,Kaufmann,,,,1994-03-18,M,CH,LEDIG,B01,Kaufmännische Angestellte / Kaufmännischer Angestellter,False,de,CH,PRIVAT,,AKTIV,,false,false,pfefferminz,HAPO,HH-000003,true,2025-12-31T09:00:00Z,2025-12-31T09:00:00Z
PTR-00000014,NATUERLICH,Frau,,Kerstin,Bergmann,,,,1977-02-03,W,DE,LEDIG,B01,Kaufmännische Angestellte / Kaufmännischer Angestellter,False,de,DE,PRIVAT,2018-03-01,AKTIV,,false,false,pfefferminz,VERA,HH-000004,true,2018-03-01T09:00:00Z,2018-03-01T09:00:00Z
PTR-00000015,NATUERLICH,Herr,,Walter,Vogt,,,,1951-08-30,M,CH,VERHEIRATET,B23,Rentnerin / Rentner,False,de,CH,PRIVAT,,VERSTORBEN,2019-02-14,false,false,pfefferminz,HAPO,HH-000005,true,2025-12-31T09:00:00Z,2025-12-31T09:00:00Z
PTR-00000016,NATUERLICH,Frau,,Sabine,Nazari,,,,1976-05-12,W,DE,VERHEIRATET,B01,Kaufmännische Angestellte / Kaufmännischer Angestellter,False,de,DE,PRIVAT,,AKTIV,,false,false,pfefferminz,HAPO,HH-000006,true,2025-12-31T09:00:00Z,2025-12-31T09:00:00Z
