adresse_id,partner_id,adresse_typ,strasse,hausnummer,plz,ort,region,land,tarifzone,gueltig_von,gueltig_bis,ist_aktuell
ADR-00000001,PTR-00000001,WOHNSITZ,Rebhaldenweg,7,6004,Luzern,LU,CH,1,2023-06-01,,true
ADR-00000002,PTR-00000001,WOHNSITZ,Kreuzmattweg,22,6003,Luzern,LU,CH,2,2009-04-01,2023-05-31,false
ADR-00000003,PTR-00000002,WOHNSITZ,Holunderstieg,12,04277,Leipzig,SN,DE,2,2021-09-01,,true
ADR-00000004,PTR-00000002,WOHNSITZ,Amselgasse,8,04600,Altenburg,TH,DE,3,1996-08-22,2021-08-31,false
ADR-00000005,PTR-00000003,GESCHAEFTSSITZ,Sägereiweg,4,5600,Lenzburg,AG,CH,2,1987-04-01,,true
ADR-00000006,PTR-00000004,GESCHAEFTSSITZ,Kupferring,18,01796,Pirna,SN,DE,3,1992-05-12,,true
ADR-00000007,PTR-00000005,WOHNSITZ,Lindenrain,3,4500,Solothurn,SO,CH,2,2010-01-01,,true
ADR-00000008,PTR-00000006,WOHNSITZ,Sternenallee,41,81925,München,BY,DE,1,2010-01-01,,true
ADR-00000009,PTR-00000007,WOHNSITZ,Farnweg,9,8004,Zürich,ZH,CH,1,2021-01-01,,true
ADR-00000010,PTR-00000008,WOHNSITZ,Erlensteig,27,01309,Dresden,SN,DE,2,2010-01-01,,true
ADR-00000011,PTR-00000009,GESCHAEFTSSITZ,Sandacker,5,15711,Königs Wusterhausen,BB,DE,3,2022-01-03,,true
ADR-00000012,PTR-00000010,WOHNSITZ,Silberhalde,14,4051,Basel,BS,CH,1,2010-01-01,,true
ADR-00000013,PTR-00000011,WOHNSITZ,Rebhaldenweg,7,6004,Luzern,LU,CH,1,2010-01-01,,true
ADR-00000014,PTR-00000012,WOHNSITZ,Sägereiweg,4,5600,Lenzburg,AG,CH,2,2010-01-01,,true
ADR-00000015,PTR-00000013,WOHNSITZ,Sägereiweg,4,5600,Lenzburg,AG,CH,2,2010-01-01,,true
ADR-00000016,PTR-00000014,WOHNSITZ,Kupferring,18,01796,Pirna,SN,DE,3,2010-01-01,,true
ADR-00000017,PTR-00000015,WOHNSITZ,Lindenrain,3,4500,Solothurn,SO,CH,2,2010-01-01,,true
ADR-00000018,PTR-00000016,WOHNSITZ,Sternenallee,41,81925,München,BY,DE,1,2010-01-01,,true
ADR-00000019,PTR-00000017,WOHNSITZ,Sandacker,5,15711,Königs Wusterhausen,BB,DE,3,2010-01-01,,true
ADR-00000020,PTR-00000018,WOHNSITZ,Silberhalde,14,4051,Basel,BS,CH,1,2010-01-01,,true
ADR-00000021,PTR-00000019,WOHNSITZ,Rebhaldenweg,7,6004,Luzern,LU,CH,1,2010-01-01,,true
ADR-00000022,PTR-00000020,WOHNSITZ,Rebhaldenweg,7,6004,Luzern,LU,CH,1,2010-01-01,,true
ADR-00000023,PTR-00000021,WOHNSITZ,Hopfenweg,16,23552,Lübeck,SH,DE,2,2018-01-28,,true
ADR-00000024,PTR-00000022,WOHNSITZ,Hopfenweg,16,23552,Lübeck,SH,DE,2,2004-10-20,,true
ADR-00000025,PTR-00000023,WOHNSITZ,Vicolo dei Soli,44,6850,Mendrisio,TI,CH,2,1999-02-12,,true
ADR-00000026,PTR-00000024,WOHNSITZ,Bärenkamp,99,80797,München,BY,DE,1,2008-08-13,,true
ADR-00000027,PTR-00000025,WOHNSITZ,Bärenkamp,99,80797,München,BY,DE,1,2011-04-21,,true
ADR-00000028,PTR-00000026,WOHNSITZ,Teichhalde,47,5722,Gränichen,AG,CH,2,2018-11-06,2024-02-17,false
ADR-00000029,PTR-00000026,WOHNSITZ,Herbstacker,58a,2500,Biel/Bienne,BE,CH,1,2024-02-18,,true
ADR-00000030,PTR-00000027,WOHNSITZ,Herbstacker,58a,2500,Biel/Bienne,BE,CH,1,2006-05-15,,true
