kontakt_id,partner_id,kontakt_typ,wert,ist_primaer
KON-00000001,PTR-00000001,EMAIL,simone.niederberger@mail.example,true
KON-00000002,PTR-00000001,TELEFON,+41 44 000 46 35,true
KON-00000003,PTR-00000002,EMAIL,jortlepp@post.example,true
KON-00000004,PTR-00000002,MOBIL,+49 152 28817 609,true
KON-00000005,PTR-00000003,TELEFON,+41 44 000 68 87,true
KON-00000006,PTR-00000004,TELEFON,+49 30 23125 951,true
KON-00000007,PTR-00000005,TELEFON,+41 44 000 43 29,true
KON-00000008,PTR-00000006,EMAIL,fnazari@bluemail.example,true
KON-00000009,PTR-00000006,TELEFON,+49 30 23125 927,true
KON-00000010,PTR-00000007,EMAIL,leon.waibel01@bluemail.example,true
KON-00000011,PTR-00000007,MOBIL,+41 44 000 99 73,true
KON-00000012,PTR-00000008,EMAIL,hpieper@bluemail.example,true
KON-00000013,PTR-00000008,TELEFON,+49 30 23125 614,true
KON-00000014,PTR-00000009,TELEFON,+49 30 23125 170,true
KON-00000015,PTR-00000010,EMAIL,nadia.ferreira-bucher@bluemail.example,true
KON-00000016,PTR-00000010,TELEFON,+41 44 000 24 08,true
KON-00000017,PTR-00000021,EMAIL,carlos.jovanovic72@web.example,true
KON-00000018,PTR-00000021,MOBIL,+49 152 28817 250,true
KON-00000019,PTR-00000022,EMAIL,birgit.jovanovic@web.example,true
KON-00000020,PTR-00000022,MOBIL,+49 152 28817 764,true
KON-00000021,PTR-00000023,EMAIL,pellegrini.alice@mail.example,true
KON-00000022,PTR-00000023,MOBIL,+41 44 000 43 24,true
KON-00000023,PTR-00000024,EMAIL,koehler.matthias@bluemail.example,true
KON-00000024,PTR-00000024,MOBIL,+49 152 28817 709,true
KON-00000025,PTR-00000025,EMAIL,silke.schmidt@post.example,true
KON-00000026,PTR-00000025,MOBIL,+49 152 28817 614,true
KON-00000027,PTR-00000026,EMAIL,priska.wyss@post.example,true
KON-00000028,PTR-00000026,MOBIL,+41 44 000 68 98,true
KON-00000029,PTR-00000027,EMAIL,lflueckiger@post.example,true
KON-00000030,PTR-00000027,MOBIL,+41 44 000 35 63,true
KON-00000031,PTR-00000028,EMAIL,maximilian.schubert84@mail.example,true
KON-00000032,PTR-00000028,MOBIL,+49 152 28817 761,true
KON-00000033,PTR-00000029,EMAIL,annika.arnold@post.example,true
KON-00000034,PTR-00000029,MOBIL,+49 152 28817 463,true
KON-00000035,PTR-00000030,EMAIL,henry74@bluemail.example,true
KON-00000036,PTR-00000030,MOBIL,+49 152 28817 663,true
KON-00000037,PTR-00000031,EMAIL,carla78@post.example,true
KON-00000038,PTR-00000031,MOBIL,+41 44 000 61 43,true
KON-00000039,PTR-00000032,EMAIL,lrouiller@bluemail.example,true
KON-00000040,PTR-00000032,MOBIL,+41 44 000 81 58,true
KON-00000041,PTR-00000033,EMAIL,pascal.rouiller@web.example,true
KON-00000042,PTR-00000033,MOBIL,+41 44 000 95 65,true
KON-00000043,PTR-00000034,EMAIL,stefanie82@web.example,true
KON-00000044,PTR-00000034,MOBIL,+49 152 28817 013,true
KON-00000045,PTR-00000035,EMAIL,moliveira@post.example,true
KON-00000046,PTR-00000035,MOBIL,+41 44 000 15 84,true
KON-00000047,PTR-00000036,EMAIL,oliveira.sandra@web.example,true
KON-00000048,PTR-00000036,MOBIL,+41 44 000 15 27,true
KON-00000049,PTR-00000037,EMAIL,reto.oliveira@web.example,true
KON-00000050,PTR-00000037,MOBIL,+41 44 000 67 52,true
KON-00000051,PTR-00000038,EMAIL,klein.torsten@post.example,true
KON-00000052,PTR-00000038,MOBIL,+49 152 28817 663,true
KON-00000053,PTR-00000039,EMAIL,jbecker@post.example,true
KON-00000054,PTR-00000039,MOBIL,+49 152 28817 447,true
KON-00000055,PTR-00000040,EMAIL,hanspeter.hunziker@bluemail.example,true
KON-00000056,PTR-00000040,MOBIL,+41 44 000 18 44,true
KON-00000057,PTR-00000041,EMAIL,yann.voisard69@post.example,true
KON-00000058,PTR-00000041,MOBIL,+41 44 000 14 43,true
KON-00000059,PTR-00000042,MOBIL,+41 44 000 63 41,true
KON-00000060,PTR-00000043,EMAIL,jan6@mail.example,true
KON-00000061,PTR-00000043,MOBIL,+41 44 000 57 43,true
KON-00000062,PTR-00000044,MOBIL,+41 44 000 28 13,true
KON-00000063,PTR-00000045,EMAIL,lena.baechtold07@web.example,true
KON-00000064,PTR-00000045,MOBIL,+41 44 000 51 23,true
KON-00000065,PTR-00000046,EMAIL,baechtold.livia@web.example,true
KON-00000066,PTR-00000046,MOBIL,+41 44 000 84 86,true
KON-00000067,PTR-00000047,EMAIL,jan.ernst82@web.example,true
KON-00000068,PTR-00000047,MOBIL,+49 152 28817 211,true
KON-00000069,PTR-00000048,EMAIL,ivana.ernst@mail.example,true
KON-00000070,PTR-00000048,MOBIL,+49 152 28817 974,true
KON-00000071,PTR-00000049,EMAIL,lschmidt@web.example,true
KON-00000072,PTR-00000049,MOBIL,+49 152 28817 817,true
KON-00000073,PTR-00000050,EMAIL,lina5@mail.example,true
KON-00000074,PTR-00000050,MOBIL,+49 152 28817 534,true
KON-00000075,PTR-00000051,MOBIL,+49 152 28817 327,true
KON-00000076,PTR-00000052,EMAIL,keller.luis@web.example,true
KON-00000077,PTR-00000052,MOBIL,+49 152 28817 742,true
KON-00000078,PTR-00000053,EMAIL,info@werra-dachdeckerei.example,true
KON-00000079,PTR-00000053,TELEFON,+49 30 23125 174,true
KON-00000080,PTR-00000054,MOBIL,+41 44 000 05 45,true
KON-00000081,PTR-00000055,MOBIL,+41 44 000 27 00,true
KON-00000082,PTR-00000056,EMAIL,bugnon.alice@mail.example,true
KON-00000083,PTR-00000056,MOBIL,+41 44 000 67 95,true
KON-00000084,PTR-00000057,EMAIL,bugnon.jade@post.example,true
KON-00000085,PTR-00000057,MOBIL,+41 44 000 00 67,true
KON-00000086,PTR-00000058,EMAIL,matthias44@bluemail.example,true
KON-00000087,PTR-00000058,MOBIL,+49 152 28817 792,true
KON-00000088,PTR-00000059,EMAIL,ute97@web.example,true
KON-00000089,PTR-00000059,MOBIL,+49 152 28817 147,true
KON-00000090,PTR-00000060,EMAIL,petra24@bluemail.example,true
KON-00000091,PTR-00000060,MOBIL,+49 152 28817 234,true
KON-00000092,PTR-00000061,EMAIL,ohoffmann@post.example,true
KON-00000093,PTR-00000061,MOBIL,+49 152 28817 575,true
KON-00000094,PTR-00000062,EMAIL,charlotte.hoffmann84@post.example,true
KON-00000095,PTR-00000062,MOBIL,+49 152 28817 177,true
KON-00000096,PTR-00000063,EMAIL,hoffmann.hanna@web.example,true
