vermittler_id,agentur_id,vorname,nachname,geschlecht,geburtsjahr,markt,kanal,vermittlernummer_alt,vermittlernummer,aktiv_seit,aktiv_bis,quellsystem,leistungsgewicht
VRM-00001,AGT-0004,Ralf,Möller,M,1985,DE,direkt,80193,93662,2016-01-01,,MINT,0.6614974773058789
VRM-00002,AGT-0011,Nadine,Lorenz,W,1972,DE,makler,28446,16616,2011-01-01,,PVS,0.5442860970392147
VRM-00003,AGT-0004,Reinhard,Schmitt,M,1973,DE,direkt,81339,55467,2022-01-01,,MINT,1.5058101076925512
VRM-00004,AGT-0012,Silvia,Wirz,W,1972,CH,agentur,68292,46014,1997-01-01,,PVS,0.5143600498615222
VRM-00005,AGT-0010,Samuel,Marti,M,1991,CH,agentur,22405,41148,2020-01-01,,PVS,0.8189013325397856
VRM-00006,AGT-0011,Heike,Schulz,W,1973,DE,makler,31009,92780,2006-01-01,,PVS,1.429764358206594
VRM-00007,AGT-0011,Lisa,Albrecht,W,1982,DE,makler,79275,51301,2004-01-01,,PVS,0.4446147749880329
VRM-00008,AGT-0002,Stefanie,Schmidt,W,1973,DE,bank,15458,63144,2009-01-01,,PVS,0.7137065166829502
VRM-00009,AGT-0007,Andreas,Schmidt,M,1971,DE,direkt,22978,69141,2023-01-01,,MINT,0.7497608773346645
VRM-00010,AGT-0011,Tomasz,Fernandes,M,1964,DE,makler,61182,56243,1999-01-01,,PVS,6.781362320091189
VRM-00011,AGT-0006,Elena,Dietiker,W,1990,CH,agentur,12814,41309,2014-01-01,,PVS,0.3213232151625471
VRM-00012,AGT-0006,Sandro,Jenni,M,1971,CH,agentur,73494,91438,2024-01-01,,PVS,0.6189122840344761
VRM-00013,AGT-0004,Melanie,Werner,W,1963,DE,direkt,66572,22358,2020-01-01,,MINT,1.2830778510809204
VRM-00014,AGT-0003,Thomas,Bättig,M,1981,CH,direkt,14447,86847,2009-01-01,,MINT,2.9311718446638015
VRM-00015,AGT-0003,Urs,Mathys,M,1970,CH,direkt,86233,26180,2024-01-01,,MINT,0.5426554000216032
VRM-00016,AGT-0011,Gerda,Werner,W,1959,DE,makler,82714,65010,2005-01-01,,PVS,0.4960545202649108
VRM-00017,AGT-0003,Beatrice,Gerber,W,1977,CH,direkt,10517,29923,2001-01-01,,MINT,1.0575294017973096
VRM-00018,AGT-0011,Dagmar,Braun,W,1980,DE,makler,32569,92109,2008-01-01,,PVS,0.38451552744463285
VRM-00019,AGT-0004,Horst,Arnold,M,1988,DE,direkt,95795,98657,2015-01-01,2019-12-31,MINT,1.0388074628771164
VRM-00020,AGT-0004,Svenja,Zimmermann,W,1985,DE,direkt,97811,96461,2019-01-01,,MINT,0.520181742781007
VRM-00021,AGT-0011,Florian,Braun,M,1970,DE,makler,54269,89761,2020-01-01,,PVS,1.8380111112012318
VRM-00022,AGT-0011,Björn,Wagner,M,1986,DE,makler,53449,26924,2021-01-01,,PVS,0.693659768998399
VRM-00023,AGT-0005,Maria José,Kim,W,1969,DE,agentur,33360,73158,2009-01-01,,PVS,0.6580029878056539
VRM-00024,AGT-0002,Monika,Fischer,W,1972,DE,bank,65215,87406,2019-01-01,,PVS,0.6130944612228038
VRM-00025,AGT-0012,Dominik,Peter,M,1973,CH,agentur,52547,57109,2005-01-01,,PVS,0.8687782058208866
VRM-00026,AGT-0010,Sandra,Moser,W,1987,CH,agentur,93309,23684,2024-01-01,,PVS,0.4383537777872302
VRM-00027,AGT-0011,Marco,Schmidt,M,1981,DE,makler,82454,21767,2007-01-01,,PVS,0.4355434874481734
VRM-00028,AGT-0004,Jessica,Schäfer,W,1976,DE,direkt,54431,16071,2010-01-01,2023-12-31,MINT,1.5847042822652646
VRM-00029,AGT-0004,Samuel,Kern,M,1993,DE,direkt,29364,83646,2022-01-01,,MINT,0.4809391200113343
VRM-00030,AGT-0002,Markus,Sommer,M,1967,DE,bank,33967,56739,2012-01-01,,PVS,0.837844372539587
VRM-00031,AGT-0006,Heidi,Zollinger,W,1967,CH,agentur,55115,70360,2020-01-01,,PVS,2.6008899576034903
VRM-00032,AGT-0011,Karl-Heinz,Hoffmann,M,1963,DE,makler,64344,76433,2001-01-01,,PVS,1.6488386711515097
VRM-00033,AGT-0011,Maren,Mayer,W,1981,DE,makler,54738,91596,2007-01-01,,PVS,0.6861485435963836
VRM-00034,AGT-0011,Annika,Berger,W,1976,DE,makler,57156,68857,2021-01-01,,PVS,3.4696283756472517
VRM-00035,AGT-0011,Oliver,Richter,M,1979,DE,makler,69452,90797,2018-01-01,,PVS,0.3957160896133506
VRM-00036,AGT-0012,Leon,Baumann,M,1970,CH,agentur,66177,18636,2006-01-01,,PVS,0.786566685547025
VRM-00037,AGT-0011,Dirk,Schmidt,M,1984,DE,makler,95640,29784,2006-01-01,,PVS,0.743407568681554
VRM-00038,AGT-0011,Christina,Peters,W,1966,DE,makler,14433,55547,2018-01-01,,PVS,0.519961720670101
VRM-00039,AGT-0012,Tobias,Aebi,M,1970,CH,agentur,69787,48269,2020-01-01,,PVS,0.9771477550602463
VRM-00040,AGT-0012,Roger,Wittwer,M,1963,CH,agentur,42571,98920,2014-01-01,,PVS,1.0586826029545116
