PARTNR;NAME1;NAME2;GEBDAT;GESCHL;ZIVST;ADR1;ADR2;ADR3;LANDKZ;SPRACHE;TEL;EMAIL;BERUF;KDSEIT;AENDDAT;BEMERK
20000001;NIEDERBERGER SIMONE;;14.03.84;2;2;REBHALDENWEG 7;;6004 LUZERN;756;D;+41 44 000 46 35;simone.niederberger@mail.example;PHYSIOTHERAPEUTIN;01.03.16;01.03.16;
20000002;SCHREINEREI KAUFMANN + SOEHNE ;GMBH;;0;0;SAEGEREIWEG 4;;5600 LENZBURX;756;D;+41 44 000 68 87;;;01.01.16;31.12.25;
20000003;BERGMANN GEBAEUDETECHNIK GMBH ;KG;;0;0;KUPFERRING 18;;01796 PIRNA;276;D;+49 30 23125 951;;;01.01.14;31.12.25;
20000004;VOGT-SCHNYDER ELISABETH;;09.06.54;2;4;LINDENRAIN 3;;4500 SOLOTHURN;756;D;+41 44 000 43 29;;PENSIONIERTE PRIMARL;01.07.95;01.08.18;
20000005;PIEPER HANS-GEORG;;02.09.62;1;3;ERLENSTEIG 27;;01309 DRESDEX;276;D;+49 30 23125 614;hpieper@bluemail.example;FRUEHPENSIONAER (EHE;01.01.13;01.08.18;
20000006;NIEDERBERGER RETO;;21.07.82;1;2;REBHALDENWEG 7;;6004 LUZERN;756;D;;;KAUFMAENNISCHE ANGES;01.05.19;01.11.24;VN TEL. ANGEFR., RR BIS 15.3.
20000007;VOGT WALTER;;30.08.51;1;2;LINDENRAIN 3;;4500 SOLOTHURN;756;D;;;RENTNERIN;;31.12.25;VERST. 14.02.19
20000008;GRIMM MARCEL;;;1;1;SANDACKER 5;;15711 KOENIGS WUSTERHAUSEN;276;D;;;KAUFMAENNISCHE ANGES;15.05.23;31.12.25;
20000009;NIEDERBERGER LINA;;09.04.14;2;1;REBHALDENWEG 7;;6004 LUZERN;756;D;;;STUDENTIN;;31.12.25;
20000010;NIEDERBERGER NOAH;;23.11.17;1;1;REBHALDENWEG 7;;6004 LUZERN;756;D;;;STUDENTIN;;01.03.16;
20000011;PELLEGRINI ALICE;;06.05.94;2;2;VICOLO DEI SOLI 44;;6850 MENDRISIO;756;I;;;SELBSTAENDIGE UNTERN;01.06.20;01.11.15;
20000012;WYSS PRISKA;;03.11.78;2;2;HERBSTACKER 58A;;2500 BIEL/BIENNE;756;D;+41 44 000 68 98;;HAUSFRAU;01.07.16;01.02.24;
20000013;FLUECKIGER LEON;;02.06.83;1;2;HERBSTACKER 58A;;2500 BIEL/BIENNE;756;D;+41 44 000 35 63;;TREUHAENDERIN;01.01.25;01.04.17;
20000014;ARNOLD ANNIKA;;09.09.94;2;5;FALKENKAMP 176;;66333 VOELKLINGEN;276;D;+49 152 28817 46;;APOTHEKERIN;01.02.15;01.07.21;
20000015;BECK HENRY;;22.11.76;1;1;REHRING 57;;08056 ZWICKAU;276;D;+49 152 28817 66;;VERWALTUNGSANGESTELL;01.04.07;01.10.21;
20000016;ROUILLER LUCIE;;16.10.92;2;2;IMPASSE DES ALOUETTES 73;;1201 GENEVE;756;F;+41 44 000 81 58;lrouiller@bluemail.example;KAUFMAENNISCHE ANGES;01.06.18;31.12.25;RUECKRUF ERBETEN
20000017;ROUILLER PASCAL;;08.11.88;1;2;IMPASSE DES ALOUETTES 73;;1201 GENEVX;756;F;+41 44 000 95 65;pascal.rouiller@web.example;TREUHAENDERIN;01.09.22;01.04.19;
20000018;GRAF STEFANIE;;08.01.71;2;1;KUPFERGASSE 38A;;01067 DRESDEN;276;D;+49 152 28817 01;;MALERIN;01.01.15;31.12.25;
20000019;OLIVEIRA MILICA;;20.03.83;2;2;ENTENSTEIG 49;;8180 BUELACH;756;D;+41 44 000 15 84;;TREUHAENDERIN;01.04.11;01.03.23;
20000020;OLIVEIRA SANDRA;;17.04.78;2;2;ENTENSTEIG 49;;8180 BUELACH;756;D;+41 44 000 15 27;;KAUFMAENNISCHE ANGES;01.02.02;01.06.18;
20000021;OLIVEIRA RETO;;03.06.07;1;1;ENTENSTEIG 49;;8180 BUELACH;756;D;+41 44 000 67 52;reto.oliveira@web.example;RENTNERIN;01.07.25;01.04.17;
20000022;HUNZIKER HANSPETER;;21.05.67;1;4;FORELLENPLATZ 105;;4563 GERLAFINGEN;756;D;+41 44 000 18 44;hanspeter.hunziker@bluemail.example;ELEKTROINSTALLATEURI;01.06.18;01.04.18;
20000023;VOISARD YANN;;14.08.69;1;2;ROUTE DES HERONS 20B;;1205 GENEVE;756;F;+41 44 000 14 43;;AERZTIN;01.07.11;01.04.18;
20000024;VOISARD EMILIE;;17.03.70;2;2;ROUTE DES HERONS;20B;1205 GENEVE;756;F;+41 44 000 63 41;;VERKAEUFERIN;;31.12.25;
20000025;BAECHTOLD JAN;;18.03.91;1;5;GOLDWEG;79;8630 RUETI ZH;756;D;+41 44 000 57 43;;RENTNERIN;01.07.17;01.02.16;
20000026;BAECHTOLD JASMIN;;;2;5;GOLDWEG 79;;8630 RUETI ZH;756;D;+41 44 000 28 13;;INFORMATIKERIN;;01.09.23;
20000027;BAECHTOLD LENA;;11.06.07;2;1;GOLDWEG 79;;8630 RUETI ZH;756;D;;;STUDENTIN;;01.05.18;
20000028;BAECHTOLD LIVIA;;16.07.07;2;1;GOLDWEG 79;;8630 RUETI ZH;756;D;+41 44 000 84 86;;STUDENTIN;01.12.25;01.04.20;
20000029;SCHNEIDER LINA;;04.12.95;2;2;SEEKAMP 49;;19053 SCHWERIN;276;D;+49 152 28817 53;;MECHANIKERIN;01.02.16;01.02.23;
20000030;VOLLMER HENRY;;25.09.99;1;2;SEEKAMP 49;;19053 SCHWERIN;276;D;+49 152 28817 32;;VERKAEUFERIN;01.12.25;01.10.22;
20000031;BUGNON ARTHUR;;04.04.95;1;2;ALLEE DES SOLEILS 92;;3960 SIERRE;756;F;+41 44 000 05 45;;VERWALTUNGSANGESTELL;01.05.13;01.07.20;
20000032;BUGNON INES;;02.12.91;2;2;ALLEE DES SOLEILS 92;;3960 SIERRE;756;F;;;KAUFMAENNISCHE ANGES;01.12.16;01.11.23;
20000033;BUGNON ALICE;;26.06.07;2;1;ALLEE DES SOLEILS 92;;3960 SIERRE;756;F;+41 44 000 67 95;bugnon.alice@mail.example;PFLEGEFACHFRAU;;31.12.25;
20000034;BUGNON JADE;;12.02.07;2;1;ALLEE DES SOLEILS 92;;3960 SIERRE;756;F;;bugnon.jade@post.example;STUDENTIN;;01.04.23;
20000035;LORENZ MATTHIAS;;06.03.76;1;2;SANDPLATZ 154;;38855 WERNIGERODE;276;D;+49 152 28817 79;matthias44@bluemail.example;INFORMATIKERIN;01.10.07;01.12.18;
20000036;LORENZ UTE;;19.04.73;2;2;SANDPLATZ 154;;38855 WERNIGERODE;276;D;+49 152 28817 14;;RENTNERIN;;31.12.25;
20000037;HARTMANN PETRA;;01.03.59;2;2;HEIDEKAMP 28;;90402 NUERNBERG;276;D;;;RENTNERIN;01.02.96;01.01.24;
20000038;HOFFMANN OLIVER;;16.08.84;1;2;BIRKENDAMM 103;;50667 KOELN;276;D;+49 152 28817 57;;BERATERIN;01.03.14;01.08.17;
