VERTRNR;PARTNR;SPARTE;TARIF;BEGDAT;ENDDAT;PRAEM;ZAHLWS;STATUS;STORNOGRD;STORNODAT;LANDKZ;VERMNR;VERMNR_ALT;SUMME;ZUSATZ1;ZUSATZ2;AENDDAT;BEMERK
40.000.001-3;20000001;10;PFM-M;01.03.16;;16800;4;S;ZZ;15.05.25;756;41309;12814;1000000000;;;15.05.25;PRAEMIE LT. NACHTRAG 01
40.000.002-9;20000002;20;PFM-M;01.01.16;;485100;1;S;ZZ;15.05.25;756;29923;10517;1000000000;;PRO/UMW;15.05.25;
40.000.003-7;20000003;20;PFM-M;01.01.14;;633142;1;S;ZZ;15.05.25;276;56243;61182;500000000;;PRO;15.05.25;
40.000.004-5;20000004;10;PFM-K;01.01.01;;12460;1;S;ZZ;15.05.25;756;70360;55115;500000000;HUND;;15.05.25;
40.000.005-0;20000005;10;PFM-M;01.01.13;;13140;4;S;ZZ;15.05.25;276;73158;33360;500000000;hund;GEB/SCH;15.05.25;
40.000.006-1;20000008;10;MZD;15.05.23;;6360;1;S;ZZ;15.05.25;276;98657;95795;500000000;;;15.05.25;
40.000.007-6;20000408;10;PFM-M;01.11.17;;11622;1;S;01;01.09.18;276;98657;95795;1000000000;HUND;;01.09.18;
40.000.008-4;20000220;10;PFM-M;01.03.15;;10894;1;S;01;01.08.24;756;86847;14447;500000000;;;01.08.24;
40.000.009-2;20000225;10;PFM-M;01.05.13;;9707;1;S;ZZ;15.05.25;756;98920;42571;500000000;;;15.05.25;
40.000.010-0;20000014;10;PFM-M;01.02.15;;10449;2;S;01;01.11.19;276;56243;61182;500000000;HUND;;01.11.19;
40.000.011-1;20000261;10;PFM-M;01.03.17;;8554;2;S;ZZ;15.05.25;276;87406;65215;500000000;;;15.05.25;BAUSTEIN HUND NACHGEMELDET
40.000.012-6;20000172;10;PFM-M;01.01.18;;10190;1;S;ZZ;15.05.25;756;91438;73494;1000000000;;;15.05.25;
40.000.013-4;20000469;10;PFM-M;01.04.16;;23536;2;S;ZZ;15.05.25;756;86847;14447;500000000;;GEB;15.05.25;
40.000.014-2;20000572;10;PFM-M;01.07.18;;15325;4;S;ZZ;15.05.25;756;46014;68292;500000000;;;15.05.25;
40.000.015-8;20000158;10;PFM-M;01.10.19;;17934;1;S;ZZ;15.05.25;756;41148;22405;1000000000;HUND;;15.05.25;
40.000.016-3;20000131;10;PFM-M;01.04.13;;15604;1;S;ZZ;15.05.25;276;54269;;1000000000;HUND 2X;;15.05.25;
40.000.017-9;20000093;10;PFM-M;01.06.17;;6729;1;S;ZZ;15.05.25;276;22358;66572;500000000;;;15.05.25;
40.000.018-7;20000118;10;PFM-M;01.10.20;;15477;1;S;ZZ;15.05.25;756;48269;69787;500000000;;;15.05.25;
40.000.019-5;20000144;10;PFM-M;01.12.17;;5355;1;S;ZZ;15.05.25;276;56243;61182;500000000;;;15.05.25;VN TEL. ANGEFR., RR BIS 15.3.
40.000.020-5;20000407;10;PFM-K;01.03.12;;4566;1;S;05;01.08.13;276;55467;81339;500000000;;;01.08.13;
40.000.021-0;20000560;10;PFM-M;01.07.17;;32119;1;S;ZZ;15.05.25;756;57109;52547;1000000000;;TIE;15.05.25;
40.000.022-1;20000082;10;PFM-M;01.08.16;;9408;1;S;ZZ;15.05.25;756;86847;14447;500000000;;;15.05.25;
40.000.023-6;20000251;10;PFM-M;01.10.16;;14112;1;S;01;01.09.22;756;86847;14447;500000000;;;01.09.22;
40.000.024-4;20000234;10;PFM-M;01.11.15;;7720;2;S;01;01.02.20;276;22358;66572;500000000;;;01.02.20;
40.000.025-2;20000483;10;PFM-M;01.03.17;;19730;2;S;01;01.02.19;756;18636;66177;1000000000;HUND;;01.02.19;ADRESSAENDERUNG 01/23
40.000.026-8;20000221;10;PFM-M;01.03.18;;15212;2;S;01;01.04.23;276;55467;81339;500000000;HUND;KIN;01.04.23;
40.000.027-3;20000505;10;PFM-K;01.08.07;;16433;1;S;ZZ;15.05.25;756;70360;55115;300000000;;;15.05.25;
40.000.028-9;20000439;10;PFM-M;01.01.14;;9408;1;S;01;01.08.19;756;10517;;500000000;;;01.08.19;
40.000.029-7;20000152;10;PFM-M;01.11.16;;11986;1;S;ZZ;15.05.25;756;23684;93309;1000000000;;;15.05.25;KUENDIGUNG ERHALTEN, FRIST PRUEFEN
40.000.030-2;20000315;10;PFM-M;01.01.16;;21446;1;S;ZZ;15.05.25;756;57109;52547;500000000;;GEB;15.05.25;
40.000.031-8;20000138;10;PFM-M;01.08.17;;9674;1;S;ZZ;15.05.25;276;98657;95795;2000000000;;GEB;15.05.25;
40.000.032-3;20000051;10;PFM-M;01.05.16;;8400;1;S;ZZ;15.05.25;756;41148;22405;500000000;;;15.05.25;SANIERUNG UW
40.000.033-9;20000443;10;PFM-M;01.08.15;;14038;1;S;ZZ;15.05.25;756;57109;52547;500000000;;;15.05.25;
40.000.034-7;20000478;10;PFM-M;01.05.16;;13455;1;S;ZZ;15.05.25;276;98657;95795;1000000000;HUND;;15.05.25;SANIERUNG UW
40.000.035-5;20000343;10;PFM-M;01.05.16;;14815;1;S;01;01.06.17;756;91438;73494;500000000;hund;;01.06.17;
40.000.036-0;20000137;10;PFM-M;01.05.16;;10946;1;S;ZZ;15.05.25;756;46014;68292;500000000;;;15.05.25;
40.000.037-1;20000102;10;PFM-M;01.03.14;;11419;1;S;02;01.08.17;276;89761;54269;2000000000;;AUS;01.08.17;
40.000.038-6;20000211;10;PFM-M;01.10.19;;13360;1;S;ZZ;15.05.25;756;41148;22405;1000000000;;;15.05.25;
40.000.039-4;20000288;10;PFM-M;01.09.14;;18896;2;S;05;01.10.19;276;89761;54269;2000000000;HUND;OEL/AUS;01.10.19;
40.000.040-3;20000139;10;PFM-M;01.12.20;;14815;4;S;ZZ;15.05.25;756;70360;55115;500000000;;;15.05.25;
40.000.041-9;20000490;10;PFM-M;01.10.18;;16842;2;S;01;01.10.23;756;86847;14447;500000000;;;01.10.23;
40.000.042-7;20000025;10;PFM-M;01.07.17;;22638;1;S;ZZ;15.05.25;756;86847;14447;500000000;;GEB;15.05.25;
40.000.043-5;20000452;10;PFM-K;01.02.12;;9290;1;S;ZZ;15.05.25;756;86847;14447;500000000;;;15.05.25;
40.000.044-0;20000424;10;PFM-M;01.06.17;;9849;1;S;ZZ;15.05.25;756;86847;14447;500000000;;;15.05.25;
40.000.045-1;20000397;10;PFM-M;01.10.13;;12842;4;S;01;01.11.23;756;23684;93309;500000000;;SCH;01.11.23;PRAEMIE LT. NACHTRAG 01
40.000.046-6;20000179;10;PFM-M;01.02.15;;16931;1;S;ZZ;15.05.25;756;86847;14447;500000000;;;15.05.25;
40.000.047-4;20000170;10;PFM-K;01.02.11;;14448;1;S;01;01.02.13;756;26180;86233;500000000;;;01.02.13;
40.000.048-2;20000406;10;PFM-K;01.11.11;;4709;1;S;02;01.04.18;276;56243;61182;500000000;;;01.04.18;
40.000.049-8;20000398;10;PFM-M;01.01.20;;17934;1;S;ZZ;15.05.25;756;86847;14447;500000000;;GEB;15.05.25;
40.000.050-7;20000515;10;PFM-M;01.06.20;;8915;1;S;ZZ;15.05.25;756;86847;14447;500000000;;;15.05.25;
40.000.051-5;20000561;10;PFM-M;01.10.20;;9867;1;S;ZZ;15.05.25;276;93662;80193;500000000;HUND;KIN;15.05.25;
40.000.052-0;20000134;10;PFM-M;01.05.18;;17981;2;S;ZZ;15.05.25;756;57109;52547;1000000000;;;15.05.25;
40.000.053-1;20000304;10;PFM-M;01.03.15;;22798;1;S;ZZ;15.05.25;756;98920;42571;500000000;;GEB;15.05.25;
40.000.054-6;20000128;10;PFM-M;01.07.17;;6466;1;S;01;01.08.19;276;98657;95795;2000000000;;AUS;01.08.19;ADRESSAENDERUNG 01/23
40.000.055-4;20000175;10;PFM-K;01.03.05;;6176;1;S;01;01.12.10;276;56243;61182;500000000;;;01.12.10;
40.000.056-2;20000356;10;PFM-M;01.08.14;;9438;1;S;01;01.07.24;276;22358;66572;2000000000;;AUS/KIN;01.07.24;
40.000.057-8;20000131;10;PFM-M;01.10.13;;16840;1;S;ZZ;15.05.25;276;76433;64344;500000000;HUND 2X;SCH/KIN;15.05.25;
40.000.058-3;20000169;10;PFM-M;01.11.15;;5379;2;S;01;01.11.16;276;56243;61182;2000000000;;;01.11.16;
40.000.059-9;20000276;10;PFM-M;01.04.14;;8034;1;S;05;01.03.18;276;55467;81339;500000000;;;01.03.18;
