PARTNR;NAME1;NAME2;GEBDAT;GESCHL;ZIVST;ADR1;ADR2;ADR3;LANDKZ;SPRACHE;TEL;EMAIL;BERUF;KDSEIT;AENDDAT;BEMERK
10000001;NIEDERBERGER SIMONE;;01.01.00;2;2;REBHALDENWEG 7;;6004 LUZERN;756;D;;;PHYSIOTHERAPEUTIN;01.03.16;31.12.25;
10000002;SCHREINEREI KAUFMANN + SOEHNE ;GMBH;;0;0;SAEGEREIWEG 4;;5600 LENZBURG;756;D;+41 44 000 68 87;;;01.01.16;31.12.25;DUBLETTE? S. PVS-L
10000003;VOGT-SCHNYDER ELISABETH;;09.06.54;2;4;LINDENRAIN 3;;4500 SOLOTHURN;756;D;+41 44 000 43 29;;PENSIONIERTE PRIMARL;01.07.95;01.10.20;
10000004;NAZARI FARID;;30.11.73;1;2;STERNENALLEE 41;;81925 MUENCHEN;276;D;+49 30 23125 927;;FACHARZT ORTHOPAEDIE;01.04.16;01.02.23;
10000005;NIEDERBERGER R.;;21.07.82;1;2;REBHALDENWEG 7;;6004 LUZERN;756;D;;;KAUFMAENNISCHE ANGES;01.05.19;01.04.24;
10000006;KAUFMANN BRUNO;;05.10.68;1;1;SAEGEREIWEG 4;;5600 LENZBURG;756;D;;;KAUFMAENNISCHE ANGES;;01.04.20;
10000007;BERGMANN KERSTIN;;03.02.77;2;1;KUPFERRING 18;;01796 PIRNA;276;D;;;KAUFMAENNISCHE ANGES;01.03.18;01.03.23;
10000008;VOGT WALTER;;;1;2;LINDENRAIN 3;;4500 SOLOTHURN;756;D;;;RENTNERIN;;01.02.19;VERST. 14.02.19
10000009;NAZARI SABINE;;12.05.76;2;2;STERNENALLEE 41;;81925 MUENCHEN;276;D;;;KAUFMAENNISCHE ANGES;;01.07.22;
10000010;NIEDERBERGER LINA;;09.04.14;2;1;REBHALDENWEG;7;6004 LUZERN;756;D;;;STUDENTIN;;01.02.18;
10000011;NIEDERBERGER NOAH;;;1;1;REBHALDENWEG 7;;6004 LUZERN;756;D;;;STUDENTIN;;31.12.25;
10000012;BECK H.;;22.11.76;1;1;REHRING 57;;08056 ZWICKAU;276;D;;henry74@bluemail.example;VERWALTUNGSANGESTELL;01.04.07;01.08.24;
