partner_id,vorname,nachname,geschlecht,land,sprache,geburtsjahr,typ
PART-00000,Markus,Brandt,M,DE,de,1979,Person
PART-00001,Jürg,Egli,M,CH,de,1948,Person
PART-00002,Maren,Hahn,W,DE,de,1972,Person
PART-00003,Hanna,Yilmaz,W,DE,de,1992,Person
PART-00004,Michael,Koch,M,DE,de,1988,Person
PART-00005,Christa,Jäger,W,DE,de,1944,Person
PART-00006,Noemi,Huber,W,CH,de,1987,Person
PART-00007,Birgit,Lorenz,W,DE,de,1951,Person
PART-00008,Carla,Zieliński,W,CH,de,1989,Person
PART-00009,Stefan,Steiner,M,CH,de,1971,Person
PART-00010,Maria José,Çelik,W,CH,de,1949,Person
PART-00011,Heinz,Hess,M,CH,de,1946,Person
PART-00012,Tomasz,Diallo,M,DE,de,1963,Person
PART-00013,Christian,Bosch,M,DE,de,1976,Person
PART-00014,Goran,Şahin,M,DE,de,1948,Person
PART-00015,Alina,Schneider,W,CH,de,1982,Person
PART-00016,Charlotte,Walter,W,DE,de,2001,Person
PART-00017,Martin,Meier,M,CH,de,1979,Person
PART-00018,Elke,Schneider,W,DE,de,1952,Person
PART-00019,Igor,Rodríguez,M,CH,de,1975,Person
PART-00020,Tim,Christen,M,CH,de,1993,Person
PART-00021,Nicole,Schneider,W,DE,de,1975,Person
PART-00022,Lukas,Müller,M,DE,de,1950,Person
PART-00023,Carla,Yilmaz,W,CH,de,2002,Person
PART-00024,Ralf,Reimers,M,DE,de,1960,Person
PART-00025,Joel,Sägesser,M,CH,de,1997,Person
PART-00026,Rajesh,Çelik,M,CH,de,1995,Person
PART-00027,Vanessa,Schmid,W,DE,de,1994,Person
PART-00028,Ernst,Müller,M,CH,de,1952,Person
PART-00029,Hanspeter,Weber,M,CH,de,1941,Person
PART-00030,Dagmar,Schuster,W,DE,de,1952,Person
PART-00031,Larissa,Widmer,W,CH,de,1973,Person
PART-00032,Stefanie,Lang,W,DE,de,1940,Person
PART-00033,Sven,Dittrich,M,DE,de,1962,Person
PART-00034,Sandro,Keller,M,CH,de,1965,Person
PART-00035,Angelika,Hahn,W,DE,de,1963,Person
PART-00036,Ruedi,Berger,M,CH,de,1941,Person
PART-00037,Ivana,Bösch,W,CH,de,1946,Person
PART-00038,Goran,Rohrer,M,CH,de,1943,Person
PART-00039,Reinhard,Meyer,M,DE,de,1955,Person
PART-00040,Doris,Suter,W,CH,de,1969,Person
PART-00041,Emre,Mbatha,M,CH,de,2001,Person
PART-00042,Anja,Jost,W,CH,de,1998,Person
PART-00043,Ruth,Berger,W,CH,de,1943,Person
PART-00044,Marcel,Chen,M,CH,de,1977,Person
PART-00045,Daniela,Wyss,W,CH,de,1991,Person
PART-00046,Joel,Rüfenacht,M,CH,de,1982,Person
PART-00047,Omar,Müller,M,CH,de,1940,Person
PART-00048,Pascal,Hofer,M,CH,de,1990,Person
PART-00049,Karin,Hess,W,CH,de,1946,Person
PART-00050,Dimitrios,Friedrich,M,DE,de,1947,Person
PART-00051,Tim,Braun,M,DE,de,1990,Person
PART-00052,Adam,Novak,M,DE,de,1994,Person
PART-00053,Moritz,Ullrich,M,DE,de,1981,Person
PART-00054,Uwe,Braun,M,DE,de,1963,Person
PART-00055,Andrea,Wagner,W,DE,de,1947,Person
PART-00056,Jürg,Wehrli,M,CH,de,1964,Person
PART-00057,Käthi,Steiner,W,CH,de,1953,Person
PART-00058,Patrick,Müller,M,CH,de,1987,Person
