quellsystem,tabelle,quell_id,feld,dq_regel,original,injiziert
HAPO,PARTNER,20000002,ADR3,DQ-27,5600 LENZBURG,5600 LENZBURX
HAPO,PARTNER,20000005,ADR3,DQ-27,01309 DRESDEN,01309 DRESDEX
HAPO,PARTNER,20000008,GEBDAT,DQ-05,19860711,00000000
HAPO,PARTNER,20000011,EMAIL,DQ-06,pellegrini.alice@mail.example,
HAPO,PARTNER,20000011,TEL,DQ-06,+41 44 000 43 24,
HAPO,PARTNER,20000012,EMAIL,DQ-06,priska.wyss@post.example,
HAPO,PARTNER,20000013,EMAIL,DQ-06,lflueckiger@post.example,
HAPO,PARTNER,20000014,EMAIL,DQ-06,annika.arnold@post.example,
HAPO,PARTNER,20000015,EMAIL,DQ-06,henry74@bluemail.example,
HAPO,PARTNER,20000017,ADR3,DQ-27,1201 GENEVE,1201 GENEVX
HAPO,PARTNER,20000018,EMAIL,DQ-06,stefanie82@web.example,
HAPO,PARTNER,20000019,EMAIL,DQ-06,moliveira@post.example,
HAPO,PARTNER,20000020,EMAIL,DQ-06,oliveira.sandra@web.example,
HAPO,PARTNER,20000023,EMAIL,DQ-06,yann.voisard69@post.example,
HAPO,PARTNER,20000024,ADR2,DQ-13,,20B
HAPO,PARTNER,20000025,ADR2,DQ-13,,79
HAPO,PARTNER,20000025,EMAIL,DQ-06,jan6@mail.example,
HAPO,PARTNER,20000026,GEBDAT,DQ-05,19940503,00000000
HAPO,PARTNER,20000027,EMAIL,DQ-06,lena.baechtold07@web.example,
HAPO,PARTNER,20000027,TEL,DQ-06,+41 44 000 51 23,
HAPO,PARTNER,20000028,EMAIL,DQ-06,baechtold.livia@web.example,
HAPO,PARTNER,20000029,EMAIL,DQ-06,lina5@mail.example,
HAPO,PARTNER,20000032,TEL,DQ-06,+41 44 000 27 00,
HAPO,PARTNER,20000034,TEL,DQ-06,+41 44 000 00 67,
HAPO,PARTNER,20000036,EMAIL,DQ-06,ute97@web.example,
HAPO,PARTNER,20000037,EMAIL,DQ-06,petra24@bluemail.example,
HAPO,PARTNER,20000037,TEL,DQ-06,+49 152 28817 234,
HAPO,PARTNER,20000038,EMAIL,DQ-06,ohoffmann@post.example,
HAPO,PARTNER,20000039,EMAIL,DQ-06,charlotte.hoffmann84@post.example,
HAPO,PARTNER,20000039,TEL,DQ-06,+49 152 28817 177,
HAPO,PARTNER,20000040,EMAIL,DQ-06,hoffmann.hanna@web.example,
HAPO,PARTNER,20000041,ADR2,DQ-13,,103
HAPO,PARTNER,20000043,EMAIL,DQ-06,luis22@mail.example,
HAPO,PARTNER,20000044,EMAIL,DQ-06,schneider.lina@mail.example,
HAPO,PARTNER,20000046,EMAIL,DQ-06,hanna.schneider@web.example,
HAPO,PARTNER,20000047,TEL,DQ-06,+49 152 28817 812,
HAPO,PARTNER,20000048,GEBDAT,DQ-05,19850612,19000101
HAPO,PARTNER,20000048,ADR2,DQ-13,,57
HAPO,PARTNER,20000048,EMAIL,DQ-06,sarah.schaefer@bluemail.example,
HAPO,PARTNER,20000050,EMAIL,DQ-06,emil.schaefer@post.example,
HAPO,PARTNER,20000054,GEBDAT,DQ-05,19710528,19000101
HAPO,PARTNER,20000055,EMAIL,DQ-06,tgarcia@web.example,
HAPO,PARTNER,20000055,TEL,DQ-06,+49 152 28817 278,
HAPO,PARTNER,20000056,EMAIL,DQ-06,leon92@web.example,
HAPO,PARTNER,20000057,ADR3,DQ-27,41460 NEUSS,41460 NEUSX
HAPO,PARTNER,20000057,TEL,DQ-06,+49 152 28817 496,
HAPO,PARTNER,20000059,GEBDAT,DQ-05,20071202,00000000
HAPO,PARTNER,20000063,EMAIL,DQ-06,nicolas59@web.example,
HAPO,PARTNER,20000064,EMAIL,DQ-06,juergen.baumann89@mail.example,
HAPO,PARTNER,20000064,TEL,DQ-06,+49 152 28817 258,
HAPO,PARTNER,20000067,ADR2,DQ-13,,130
HAPO,PARTNER,20000069,EMAIL,DQ-06,felix73@post.example,
HAPO,PARTNER,20000071,EMAIL,DQ-06,elena7@bluemail.example,
HAPO,PARTNER,20000071,TEL,DQ-06,+41 44 000 15 00,
HAPO,PARTNER,20000072,EMAIL,DQ-06,patrick.hess@post.example,
HAPO,PARTNER,20000074,EMAIL,DQ-06,jonas.sauer90@post.example,
HAPO,PARTNER,20000074,TEL,DQ-06,+49 152 28817 423,
HAPO,PARTNER,20000075,EMAIL,DQ-06,mmeier@bluemail.example,
HAPO,PARTNER,20000075,TEL,DQ-06,+41 44 000 16 54,
HAPO,PARTNER,20000076,EMAIL,DQ-06,mueller.sara@post.example,
HAPO,PARTNER,20000077,GEBDAT,DQ-05,19860419,19000101
HAPO,PARTNER,20000077,EMAIL,DQ-06,cportmann@bluemail.example,
HAPO,PARTNER,20000079,TEL,DQ-06,+49 152 28817 976,
HAPO,PARTNER,20000080,ADR2,DQ-13,,175
HAPO,PARTNER,20000081,EMAIL,DQ-06,ddogan@web.example,
HAPO,PARTNER,20000082,EMAIL,DQ-06,werner.suter@web.example,
HAPO,PARTNER,20000083,EMAIL,DQ-06,katharina.rauch@mail.example,
HAPO,PARTNER,20000083,TEL,DQ-06,+49 152 28817 589,
HAPO,PARTNER,20000084,GEBDAT,DQ-05,19810115,00000000
HAPO,PARTNER,20000084,EMAIL,DQ-06,miguel94@web.example,
HAPO,PARTNER,20000085,EMAIL,DQ-06,miguel31@mail.example,
HAPO,PARTNER,20000086,EMAIL,DQ-06,karin.lehmann@mail.example,
HAPO,PARTNER,20000090,EMAIL,DQ-06,julia73@bluemail.example,
HAPO,PARTNER,20000090,TEL,DQ-06,+49 152 28817 828,
HAPO,PARTNER,20000091,TEL,DQ-06,+49 152 28817 101,
HAPO,PARTNER,20000092,ADR2,DQ-13,,81
HAPO,PARTNER,20000092,EMAIL,DQ-06,lang.charlotte@web.example,
HAPO,PARTNER,20000093,EMAIL,DQ-06,markus.klein87@post.example,
HAPO,PARTNER,20000094,EMAIL,DQ-06,lisa.klein@web.example,
HAPO,PARTNER,20000094,TEL,DQ-06,+49 152 28817 876,
HAPO,PARTNER,20000098,EMAIL,DQ-06,fatma98@post.example,
HAPO,PARTNER,20000099,EMAIL,DQ-06,czbinden@bluemail.example,
HAPO,PARTNER,20000100,TEL,DQ-06,+41 44 000 77 98,
HAPO,PARTNER,20000102,ADR2,DQ-13,,30
HAPO,PARTNER,20000102,EMAIL,DQ-06,klaus.mueller69@web.example,
HAPO,PARTNER,20000103,ADR3,DQ-27,74072 HEILBRONN,74072 HEILBRONX
HAPO,PARTNER,20000104,TEL,DQ-06,+49 152 28817 936,
HAPO,PARTNER,20000108,EMAIL,DQ-06,lisa6@bluemail.example,
HAPO,PARTNER,20000108,TEL,DQ-06,+49 152 28817 482,
HAPO,PARTNER,20000109,EMAIL,DQ-06,urs.odermatt70@post.example,
HAPO,PARTNER,20000110,EMAIL,DQ-06,vodermatt@bluemail.example,
HAPO,PARTNER,20000110,TEL,DQ-06,+41 44 000 11 22,
HAPO,PARTNER,20000111,EMAIL,DQ-06,srohrer@bluemail.example,
HAPO,PARTNER,20000111,TEL,DQ-06,+41 44 000 52 07,
HAPO,PARTNER,20000112,EMAIL,DQ-06,pohl.lisa@mail.example,
HAPO,PARTNER,20000115,EMAIL,DQ-06,corinne.hofer80@web.example,
HAPO,PARTNER,20000115,TEL,DQ-06,+41 44 000 36 72,
HAPO,PARTNER,20000117,ADR3,DQ-27,8001 ZUERICH,8001 ZUERICX
HAPO,PARTNER,20000118,ADR3,DQ-27,8610 USTER,8610 USTEX
HAPO,PARTNER,20000118,EMAIL,DQ-06,lena.wenger@web.example,
HAPO,PARTNER,20000119,EMAIL,DQ-06,berger.gian@bluemail.example,
HAPO,PARTNER,20000120,EMAIL,DQ-06,roger49@web.example,
HAPO,PARTNER,20000121,EMAIL,DQ-06,roth.nadine@mail.example,
HAPO,PARTNER,20000122,EMAIL,DQ-06,roth.ladina@bluemail.example,
HAPO,PARTNER,20000123,EMAIL,DQ-06,lena.roth@bluemail.example,
HAPO,PARTNER,20000125,ADR2,DQ-13,,168
HAPO,PARTNER,20000125,TEL,DQ-06,+49 152 28817 373,
HAPO,PARTNER,20000126,EMAIL,DQ-06,ute34@web.example,
HAPO,PARTNER,20000127,EMAIL,DQ-06,lorenz.elias@post.example,
HAPO,PARTNER,20000128,EMAIL,DQ-06,hans-juergen.wagner79@web.example,
HAPO,PARTNER,20000128,TEL,DQ-06,+49 30 23125 130,
HAPO,PARTNER,20000129,EMAIL,DQ-06,dwagner@post.example,
HAPO,PARTNER,20000129,TEL,DQ-06,+49 152 28817 777,
HAPO,PARTNER,20000130,EMAIL,DQ-06,info@wigger-gipserei.example,
HAPO,PARTNER,20000131,EMAIL,DQ-06,dragan.dogan@post.example,
HAPO,PARTNER,20000132,EMAIL,DQ-06,lina.schmidt75@post.example,
HAPO,PARTNER,20000135,EMAIL,DQ-06,daniel.baettig@bluemail.example,
HAPO,PARTNER,20000137,EMAIL,DQ-06,patrick.gaillard@web.example,
HAPO,PARTNER,20000138,TEL,DQ-06,+49 152 28817 544,
HAPO,PARTNER,20000140,EMAIL,DQ-06,silvan6@bluemail.example,
HAPO,PARTNER,20000144,TEL,DQ-06,+49 152 28817 938,
HAPO,PARTNER,20000145,ADR2,DQ-13,,104
HAPO,PARTNER,20000145,EMAIL,DQ-06,vetterli.daniel@mail.example,
